Datetime,Water Level (m)
2023-03-12 12:00:00,0.002285349
2023-03-12 13:00:00,0.0017539057
2023-03-12 14:00:00,0.0014817035
2023-03-12 15:00:00,0.0012029449
2023-03-12 16:00:00,0.0009509852
2023-03-12 17:00:00,0.0009632822
2023-03-12 18:00:00,0.0014427771
2023-03-12 19:00:00,0.001404305
2023-03-12 20:00:00,0.0010282815
2023-03-12 21:00:00,0.0013804267
2023-03-12 22:00:00,0.0019412733
2023-03-12 23:00:00,0.0021646642
2023-03-13 00:00:00,0.0024185337
2023-03-13 01:00:00,0.0023712497
2023-03-13 02:00:00,0.0020584585
2023-03-13 03:00:00,0.0018192227
2023-03-13 04:00:00,0.0016066766
2023-03-13 05:00:00,0.0016143813
2023-03-13 06:00:00,0.0019033048
2023-03-13 07:00:00,0.0025075711
2023-03-13 08:00:00,0.0031484317
2023-03-13 09:00:00,0.0034696052
2023-03-13 10:00:00,0.0034989272
2023-03-13 11:00:00,0.0031780626
2023-03-13 12:00:00,0.0027642804
2023-03-13 13:00:00,0.0021689737
2023-03-13 14:00:00,0.0017111027
2023-03-13 15:00:00,0.0010435461
2023-03-13 16:00:00,0.0004085743
2023-03-13 17:00:00,0.00014470425
2023-03-13 18:00:00,1.1131857e-05
2023-03-13 19:00:00,-0.00037887998
2023-03-13 20:00:00,-0.0007187392
2023-03-13 21:00:00,-0.0001418199
2023-03-13 22:00:00,5.930956e-06
2023-03-13 23:00:00,0.00015011542
2023-03-14 00:00:00,0.00023424737
2023-03-14 01:00:00,-0.00015900131
2023-03-14 02:00:00,-0.00047179873
2023-03-14 03:00:00,-0.0006051498
2023-03-14 04:00:00,-0.0008146227
2023-03-14 05:00:00,-0.0009434018
2023-03-14 06:00:00,-0.001192647
2023-03-14 07:00:00,-0.0011410064
2023-03-14 08:00:00,-0.00086143415
2023-03-14 09:00:00,-0.00058170204
2023-03-14 10:00:00,-0.00029262019
2023-03-14 11:00:00,0.0001386242
2023-03-14 12:00:00,0.00016744164
2023-03-14 13:00:00,-0.00202667
2023-03-14 14:00:00,-0.0043359813
2023-03-14 15:00:00,-0.0047988663
2023-03-14 16:00:00,-0.004320811
2023-03-14 17:00:00,-0.0030938117
2023-03-14 18:00:00,-0.0022444476
2023-03-14 19:00:00,-0.0013988581
2023-03-14 20:00:00,-0.0010955902
2023-03-14 21:00:00,-0.0009035792
2023-03-14 22:00:00,0.00037235123
2023-03-14 23:00:00,0.00088647223
2023-03-15 00:00:00,-4.668396e-06
2023-03-15 01:00:00,-0.00045283762
2023-03-15 02:00:00,-0.0019430058
2023-03-15 03:00:00,-0.004083312
2023-03-15 04:00:00,-0.0041981046
2023-03-15 05:00:00,-0.0040460094
2023-03-15 06:00:00,-0.0044747638
2023-03-15 07:00:00,-0.0046179187
2023-03-15 08:00:00,-0.0043775593
2023-03-15 09:00:00,-0.0038157247
2023-03-15 10:00:00,-0.0023483569
2023-03-15 11:00:00,-0.0025577485
2023-03-15 12:00:00,-0.0019458237
2023-03-15 13:00:00,-0.008893713
2023-03-15 14:00:00,-0.008734286
2023-03-15 15:00:00,-0.0033411928
2023-03-15 16:00:00,-0.0028694724
2023-03-15 17:00:00,-0.0037840342
2023-03-15 18:00:00,-0.003116898
2023-03-15 19:00:00,-0.0032121562
2023-03-15 20:00:00,-0.0020554068
2023-03-15 21:00:00,-0.00043264916
2023-03-15 22:00:00,-0.0003656097
2023-03-15 23:00:00,-0.0005672991
2023-03-16 00:00:00,-0.001667023
2023-03-16 01:00:00,-0.0018009795
2023-03-16 02:00:00,-0.0034703687
2023-03-16 03:00:00,-0.0056802747
2023-03-16 04:00:00,-0.006374035
2023-03-16 05:00:00,-0.0063510714
2023-03-16 06:00:00,-0.006155416
2023-03-16 07:00:00,-0.005852684
2023-03-16 08:00:00,-0.0063630454
2023-03-16 09:00:00,-0.007617771
2023-03-16 10:00:00,-0.00481383
2023-03-16 11:00:00,-0.0023836587
2023-03-16 12:00:00,-0.0041209827
2023-03-16 13:00:00,-0.009606341
2023-03-16 14:00:00,-0.0052877325
2023-03-16 15:00:00,0.0014754821
2023-03-16 16:00:00,0.0009930404
2023-03-16 17:00:00,-0.00057413307
2023-03-16 18:00:00,-0.0012411315
2023-03-16 19:00:00,-0.0017876619
2023-03-16 20:00:00,-0.0020266802
2023-03-16 21:00:00,-0.0019316827
2023-03-16 22:00:00,-0.0017717953
2023-03-16 23:00:00,-0.00028721144
2023-03-17 00:00:00,-0.00017774211
2023-03-17 01:00:00,-0.0013853668
2023-03-17 02:00:00,-0.0019014671
2023-03-17 03:00:00,-0.0032554308
2023-03-17 04:00:00,-0.0038693633
2023-03-17 05:00:00,-0.0025381364
2023-03-17 06:00:00,-0.001614321
2023-03-17 07:00:00,-0.0015365762
2023-03-17 08:00:00,-0.0013349857
2023-03-17 09:00:00,-0.0007450335
2023-03-17 10:00:00,-0.00013677409
2023-03-17 11:00:00,-0.006731972
2023-03-17 12:00:00,-0.00679236
2023-03-17 13:00:00,0.00027283307
2023-03-17 14:00:00,3.587942e-05
2023-03-17 15:00:00,-0.0016807838
2023-03-17 16:00:00,0.00048081402
2023-03-17 17:00:00,0.0009590671
2023-03-17 18:00:00,-0.0007645968
2023-03-17 19:00:00,-0.0013039443
2023-03-17 20:00:00,-0.0017576878
2023-03-17 21:00:00,-0.0022586358
2023-03-17 22:00:00,-0.001679233
2023-03-17 23:00:00,-0.0011320756
2023-03-18 00:00:00,0.0005784006
2023-03-18 01:00:00,0.0011418625
2023-03-18 02:00:00,0.0010794584
2023-03-18 03:00:00,0.0018350581
2023-03-18 04:00:00,0.0028486215
2023-03-18 05:00:00,0.002592323
2023-03-18 06:00:00,0.001378434
2023-03-18 07:00:00,0.0011073478
2023-03-18 08:00:00,0.0013720992
2023-03-18 09:00:00,0.0010260243
2023-03-18 10:00:00,-0.0007096037
2023-03-18 11:00:00,-0.0037851352
2023-03-18 12:00:00,-0.0031676728
